subtask_id,backlog_id,phase,priority,workstream,owner,summary,sprint,due_date,status
P1-029-A,P1-029,PLAN,P1,"WS-02 Security compliance","Compliance + CISO","Add purpose-of-use tagging in audit events where clinically relevant.",Sprint-4,2026-04-10,todo
P1-029-B,P1-029,BUILD,P1,"WS-02 Security compliance","Compliance + CISO","Add purpose-of-use tagging in audit events where clinically relevant.",Sprint-5,2026-04-24,todo
P1-029-C,P1-029,VERIFY,P1,"WS-02 Security compliance","Compliance + CISO","Add purpose-of-use tagging in audit events where clinically relevant.",Sprint-5,2026-04-24,todo
P1-030-A,P1-030,PLAN,P1,"WS-05 OpenEHR interoperability","CIO + Interop","Add external integration onboarding checklist (data contract, validation, rollback).",Sprint-4,2026-04-10,todo
P1-030-B,P1-030,BUILD,P1,"WS-05 OpenEHR interoperability","CIO + Interop","Add external integration onboarding checklist (data contract, validation, rollback).",Sprint-5,2026-04-24,todo
P1-030-C,P1-030,VERIFY,P1,"WS-05 OpenEHR interoperability","CIO + Interop","Add external integration onboarding checklist (data contract, validation, rollback).",Sprint-5,2026-04-24,todo
P1-031-A,P1-031,PLAN,P1,"WS-05 OpenEHR interoperability","Interop + QA","Add Meditech sample replay validation against OpenEHR contract.",Sprint-4,2026-04-10,todo
P1-031-B,P1-031,BUILD,P1,"WS-05 OpenEHR interoperability","Interop + QA","Add Meditech sample replay validation against OpenEHR contract.",Sprint-5,2026-04-24,todo
P1-031-C,P1-031,VERIFY,P1,"WS-05 OpenEHR interoperability","Interop + QA","Add Meditech sample replay validation against OpenEHR contract.",Sprint-5,2026-04-24,todo
P1-032-A,P1-032,PLAN,P1,"WS-08 Program governance","CIO + Ops + Clinical AI","Add production incident taxonomy and severity rubric for clinical AI failures.",Sprint-4,2026-04-10,todo
P1-032-B,P1-032,BUILD,P1,"WS-08 Program governance","CIO + Ops + Clinical AI","Add production incident taxonomy and severity rubric for clinical AI failures.",Sprint-5,2026-04-24,todo
P1-032-C,P1-032,VERIFY,P1,"WS-08 Program governance","CIO + Ops + Clinical AI","Add production incident taxonomy and severity rubric for clinical AI failures.",Sprint-5,2026-04-24,todo
P1-033-A,P1-033,PLAN,P1,"WS-08 Program governance","Program + CISO","Add risk-acceptance workflow with expiry dates for unresolved P1 items.",Sprint-4,2026-04-10,todo
P1-033-B,P1-033,BUILD,P1,"WS-08 Program governance","Program + CISO","Add risk-acceptance workflow with expiry dates for unresolved P1 items.",Sprint-5,2026-04-24,todo
P1-033-C,P1-033,VERIFY,P1,"WS-08 Program governance","Program + CISO","Add risk-acceptance workflow with expiry dates for unresolved P1 items.",Sprint-5,2026-04-24,todo
P1-034-A,P1-034,PLAN,P1,"WS-02 Security compliance","CISO + Legal","Add legal/provider contract gate for any external LLM with PHI exposure potential.",Sprint-4,2026-04-10,todo
P1-034-B,P1-034,BUILD,P1,"WS-02 Security compliance","CISO + Legal","Add legal/provider contract gate for any external LLM with PHI exposure potential.",Sprint-5,2026-04-24,todo
P1-034-C,P1-034,VERIFY,P1,"WS-02 Security compliance","CISO + Legal","Add legal/provider contract gate for any external LLM with PHI exposure potential.",Sprint-5,2026-04-24,todo
P1-035-A,P1-035,PLAN,P1,"WS-08 Program governance","CTO + Ops","Add immutable release checklist tying deployment SHA to safety checks.",Sprint-4,2026-04-10,todo
P1-035-B,P1-035,BUILD,P1,"WS-08 Program governance","CTO + Ops","Add immutable release checklist tying deployment SHA to safety checks.",Sprint-5,2026-04-24,todo
P1-035-C,P1-035,VERIFY,P1,"WS-08 Program governance","CTO + Ops","Add immutable release checklist tying deployment SHA to safety checks.",Sprint-5,2026-04-24,todo
P2-001-A,P2-001,PLAN,P2,"WS-07 QA validation","QA + CTO","Add integration tests with real Neo4j + PostgreSQL for KG/QA pathways.",Sprint-6,2026-05-08,todo
P2-001-B,P2-001,BUILD,P2,"WS-07 QA validation","QA + CTO","Add integration tests with real Neo4j + PostgreSQL for KG/QA pathways.",Wave-D,2026-06-05,todo
P2-001-C,P2-001,VERIFY,P2,"WS-07 QA validation","QA + CTO","Add integration tests with real Neo4j + PostgreSQL for KG/QA pathways.",Wave-D,2026-06-05,todo
P2-002-A,P2-002,PLAN,P2,"WS-07 QA validation","QA + Clinical AI","Add contract tests for answer provenance completeness.",Sprint-6,2026-05-08,todo
P2-002-B,P2-002,BUILD,P2,"WS-07 QA validation","QA + Clinical AI","Add contract tests for answer provenance completeness.",Wave-D,2026-06-05,todo
P2-002-C,P2-002,VERIFY,P2,"WS-07 QA validation","QA + Clinical AI","Add contract tests for answer provenance completeness.",Wave-D,2026-06-05,todo
P2-003-A,P2-003,PLAN,P2,"WS-07 QA validation","Ops + QA","Add synthetic canary tests for top 5 clinical workflows.",Sprint-6,2026-05-08,todo
P2-003-B,P2-003,BUILD,P2,"WS-07 QA validation","Ops + QA","Add synthetic canary tests for top 5 clinical workflows.",Wave-D,2026-06-05,todo
P2-003-C,P2-003,VERIFY,P2,"WS-07 QA validation","Ops + QA","Add synthetic canary tests for top 5 clinical workflows.",Wave-D,2026-06-05,todo
P2-004-A,P2-004,PLAN,P2,"WS-07 QA validation","Clinical AI","Add benchmark harness for NLP extraction precision/recall by entity type.",Sprint-6,2026-05-08,todo
P2-004-B,P2-004,BUILD,P2,"WS-07 QA validation","Clinical AI","Add benchmark harness for NLP extraction precision/recall by entity type.",Wave-D,2026-06-05,todo
P2-004-C,P2-004,VERIFY,P2,"WS-07 QA validation","Clinical AI","Add benchmark harness for NLP extraction precision/recall by entity type.",Wave-D,2026-06-05,todo
P2-005-A,P2-005,PLAN,P2,"WS-07 QA validation","Clinical AI + QA","Add regression tests for negation/experiencer edge cases.",Sprint-6,2026-05-08,todo
P2-005-B,P2-005,BUILD,P2,"WS-07 QA validation","Clinical AI + QA","Add regression tests for negation/experiencer edge cases.",Wave-D,2026-06-05,todo
P2-005-C,P2-005,VERIFY,P2,"WS-07 QA validation","Clinical AI + QA","Add regression tests for negation/experiencer edge cases.",Wave-D,2026-06-05,todo
P2-006-A,P2-006,PLAN,P2,"WS-07 QA validation","Clinical AI + Product","Add KG completeness scoring model and expose in API/UI.",Sprint-6,2026-05-08,todo
P2-006-B,P2-006,BUILD,P2,"WS-07 QA validation","Clinical AI + Product","Add KG completeness scoring model and expose in API/UI.",Wave-D,2026-06-05,todo
P2-006-C,P2-006,VERIFY,P2,"WS-07 QA validation","Clinical AI + Product","Add KG completeness scoring model and expose in API/UI.",Wave-D,2026-06-05,todo
P2-007-A,P2-007,PLAN,P2,"WS-07 QA validation","Clinical AI","Add uncertainty taxonomy and reason codes for all decline/degraded outputs.",Sprint-6,2026-05-08,todo
P2-007-B,P2-007,BUILD,P2,"WS-07 QA validation","Clinical AI","Add uncertainty taxonomy and reason codes for all decline/degraded outputs.",Wave-D,2026-06-05,todo
P2-007-C,P2-007,VERIFY,P2,"WS-07 QA validation","Clinical AI","Add uncertainty taxonomy and reason codes for all decline/degraded outputs.",Wave-D,2026-06-05,todo
P2-008-A,P2-008,PLAN,P2,"WS-07 QA validation","Product","Add chart-level ""what system knows vs does not know"" summary panel.",Sprint-6,2026-05-08,todo
P2-008-B,P2-008,BUILD,P2,"WS-07 QA validation","Product","Add chart-level ""what system knows vs does not know"" summary panel.",Wave-D,2026-06-05,todo
P2-008-C,P2-008,VERIFY,P2,"WS-07 QA validation","Product","Add chart-level ""what system knows vs does not know"" summary panel.",Wave-D,2026-06-05,todo
P2-009-A,P2-009,PLAN,P2,"WS-07 QA validation","Product + Clinical AI","Add clinician feedback capture and replay pipeline.",Sprint-6,2026-05-08,todo
P2-009-B,P2-009,BUILD,P2,"WS-07 QA validation","Product + Clinical AI","Add clinician feedback capture and replay pipeline.",Wave-D,2026-06-05,todo
P2-009-C,P2-009,VERIFY,P2,"WS-07 QA validation","Product + Clinical AI","Add clinician feedback capture and replay pipeline.",Wave-D,2026-06-05,todo
P2-010-A,P2-010,PLAN,P2,"WS-07 QA validation","Clinical AI + Data","Add drift detection for terminology mapping distributions over time.",Sprint-6,2026-05-08,todo
P2-010-B,P2-010,BUILD,P2,"WS-07 QA validation","Clinical AI + Data","Add drift detection for terminology mapping distributions over time.",Wave-D,2026-06-05,todo
P2-010-C,P2-010,VERIFY,P2,"WS-07 QA validation","Clinical AI + Data","Add drift detection for terminology mapping distributions over time.",Wave-D,2026-06-05,todo
P2-011-A,P2-011,PLAN,P2,"WS-07 QA validation","Clinical AI + Product","Add concept mapping disagreement dashboard (rule vs ML vs ensemble).",Sprint-6,2026-05-08,todo
P2-011-B,P2-011,BUILD,P2,"WS-07 QA validation","Clinical AI + Product","Add concept mapping disagreement dashboard (rule vs ML vs ensemble).",Wave-D,2026-06-05,todo
P2-011-C,P2-011,VERIFY,P2,"WS-07 QA validation","Clinical AI + Product","Add concept mapping disagreement dashboard (rule vs ML vs ensemble).",Wave-D,2026-06-05,todo
P2-012-A,P2-012,PLAN,P2,"WS-06 SRE operations","CTO + Ops","Add queue partitioning by workload class (ingest/mapping/KG/export).",Sprint-6,2026-05-08,todo
P2-012-B,P2-012,BUILD,P2,"WS-06 SRE operations","CTO + Ops","Add queue partitioning by workload class (ingest/mapping/KG/export).",Wave-D,2026-06-05,todo
P2-012-C,P2-012,VERIFY,P2,"WS-06 SRE operations","CTO + Ops","Add queue partitioning by workload class (ingest/mapping/KG/export).",Wave-D,2026-06-05,todo
P2-013-A,P2-013,PLAN,P2,"WS-06 SRE operations","Ops + CTO","Add horizontal scaling plan for worker pools with load tests.",Sprint-6,2026-05-08,todo
P2-013-B,P2-013,BUILD,P2,"WS-06 SRE operations","Ops + CTO","Add horizontal scaling plan for worker pools with load tests.",Wave-D,2026-06-05,todo
P2-013-C,P2-013,VERIFY,P2,"WS-06 SRE operations","Ops + CTO","Add horizontal scaling plan for worker pools with load tests.",Wave-D,2026-06-05,todo
P2-014-A,P2-014,PLAN,P2,"WS-06 SRE operations","CTO + Ops","Add Kafka HA strategy decision (managed service vs multi-broker self-hosted).",Sprint-6,2026-05-08,todo
P2-014-B,P2-014,BUILD,P2,"WS-06 SRE operations","CTO + Ops","Add Kafka HA strategy decision (managed service vs multi-broker self-hosted).",Wave-D,2026-06-05,todo
P2-014-C,P2-014,VERIFY,P2,"WS-06 SRE operations","CTO + Ops","Add Kafka HA strategy decision (managed service vs multi-broker self-hosted).",Wave-D,2026-06-05,todo
P2-015-A,P2-015,PLAN,P2,"WS-06 SRE operations","Ops","Add Redis separation for cache vs job queue in production design.",Sprint-6,2026-05-08,todo
P2-015-B,P2-015,BUILD,P2,"WS-06 SRE operations","Ops","Add Redis separation for cache vs job queue in production design.",Wave-D,2026-06-05,todo
P2-015-C,P2-015,VERIFY,P2,"WS-06 SRE operations","Ops","Add Redis separation for cache vs job queue in production design.",Wave-D,2026-06-05,todo
P2-016-A,P2-016,PLAN,P2,"WS-06 SRE operations","Ops","Add scheduled backup automation and restore verification jobs.",Sprint-6,2026-05-08,todo
P2-016-B,P2-016,BUILD,P2,"WS-06 SRE operations","Ops","Add scheduled backup automation and restore verification jobs.",Wave-D,2026-06-05,todo
P2-016-C,P2-016,VERIFY,P2,"WS-06 SRE operations","Ops","Add scheduled backup automation and restore verification jobs.",Wave-D,2026-06-05,todo
P2-017-A,P2-017,PLAN,P2,"WS-06 SRE operations","Ops + Platform","Add SLO dashboard with p95/p99 latency and error rates by endpoint.",Sprint-6,2026-05-08,todo
P2-017-B,P2-017,BUILD,P2,"WS-06 SRE operations","Ops + Platform","Add SLO dashboard with p95/p99 latency and error rates by endpoint.",Wave-D,2026-06-05,todo
P2-017-C,P2-017,VERIFY,P2,"WS-06 SRE operations","Ops + Platform","Add SLO dashboard with p95/p99 latency and error rates by endpoint.",Wave-D,2026-06-05,todo
P2-018-A,P2-018,PLAN,P2,"WS-06 SRE operations","Ops","Add alert fatigue controls and tuned severity thresholds.",Sprint-6,2026-05-08,todo
P2-018-B,P2-018,BUILD,P2,"WS-06 SRE operations","Ops","Add alert fatigue controls and tuned severity thresholds.",Wave-D,2026-06-05,todo
P2-018-C,P2-018,VERIFY,P2,"WS-06 SRE operations","Ops","Add alert fatigue controls and tuned severity thresholds.",Wave-D,2026-06-05,todo
P2-019-A,P2-019,PLAN,P2,"WS-07 QA validation","CTO + Clinical AI","Add API budget/timeout policies for hybrid query path.",Sprint-6,2026-05-08,todo
P2-019-B,P2-019,BUILD,P2,"WS-07 QA validation","CTO + Clinical AI","Add API budget/timeout policies for hybrid query path.",Wave-D,2026-06-05,todo
P2-019-C,P2-019,VERIFY,P2,"WS-07 QA validation","CTO + Clinical AI","Add API budget/timeout policies for hybrid query path.",Wave-D,2026-06-05,todo
P2-020-A,P2-020,PLAN,P2,"WS-07 QA validation","Platform","Add idempotency and retry safety for ingestion endpoints.",Sprint-6,2026-05-08,todo
P2-020-B,P2-020,BUILD,P2,"WS-07 QA validation","Platform","Add idempotency and retry safety for ingestion endpoints.",Wave-D,2026-06-05,todo
P2-020-C,P2-020,VERIFY,P2,"WS-07 QA validation","Platform","Add idempotency and retry safety for ingestion endpoints.",Wave-D,2026-06-05,todo
P2-021-A,P2-021,PLAN,P2,"WS-07 QA validation","Clinical AI + Ops","Add deterministic reprocessing mode for failed notes.",Sprint-6,2026-05-08,todo
P2-021-B,P2-021,BUILD,P2,"WS-07 QA validation","Clinical AI + Ops","Add deterministic reprocessing mode for failed notes.",Wave-D,2026-06-05,todo
P2-021-C,P2-021,VERIFY,P2,"WS-07 QA validation","Clinical AI + Ops","Add deterministic reprocessing mode for failed notes.",Wave-D,2026-06-05,todo
P2-022-A,P2-022,PLAN,P2,"WS-07 QA validation","Data + Clinical AI","Add structured data lineage fields end-to-end (source system to answer).",Sprint-6,2026-05-08,todo
P2-022-B,P2-022,BUILD,P2,"WS-07 QA validation","Data + Clinical AI","Add structured data lineage fields end-to-end (source system to answer).",Wave-D,2026-06-05,todo
P2-022-C,P2-022,VERIFY,P2,"WS-07 QA validation","Data + Clinical AI","Add structured data lineage fields end-to-end (source system to answer).",Wave-D,2026-06-05,todo
P2-023-A,P2-023,PLAN,P2,"WS-05 OpenEHR interoperability","CIO + Interop","Add tenant onboarding automation and preflight validation checks.",Sprint-6,2026-05-08,todo
P2-023-B,P2-023,BUILD,P2,"WS-05 OpenEHR interoperability","CIO + Interop","Add tenant onboarding automation and preflight validation checks.",Wave-D,2026-06-05,todo
P2-023-C,P2-023,VERIFY,P2,"WS-05 OpenEHR interoperability","CIO + Interop","Add tenant onboarding automation and preflight validation checks.",Wave-D,2026-06-05,todo
P2-024-A,P2-024,PLAN,P2,"WS-07 QA validation","Security + QA","Add endpoint-level RBAC test suite for least privilege.",Sprint-6,2026-05-08,todo
P2-024-B,P2-024,BUILD,P2,"WS-07 QA validation","Security + QA","Add endpoint-level RBAC test suite for least privilege.",Wave-D,2026-06-05,todo
P2-024-C,P2-024,VERIFY,P2,"WS-07 QA validation","Security + QA","Add endpoint-level RBAC test suite for least privilege.",Wave-D,2026-06-05,todo
P2-025-A,P2-025,PLAN,P2,"WS-07 QA validation","CISO + QA","Add policy tests to ensure no sensitive defaults in production configs.",Sprint-6,2026-05-08,todo
P2-025-B,P2-025,BUILD,P2,"WS-07 QA validation","CISO + QA","Add policy tests to ensure no sensitive defaults in production configs.",Wave-D,2026-06-05,todo
P2-025-C,P2-025,VERIFY,P2,"WS-07 QA validation","CISO + QA","Add policy tests to ensure no sensitive defaults in production configs.",Wave-D,2026-06-05,todo
P2-026-A,P2-026,PLAN,P2,"WS-05 OpenEHR interoperability","CISO","Add threat model update cadence tied to release cycles.",Sprint-6,2026-05-08,todo
P2-026-B,P2-026,BUILD,P2,"WS-05 OpenEHR interoperability","CISO","Add threat model update cadence tied to release cycles.",Wave-D,2026-06-05,todo
P2-026-C,P2-026,VERIFY,P2,"WS-05 OpenEHR interoperability","CISO","Add threat model update cadence tied to release cycles.",Wave-D,2026-06-05,todo
P2-027-A,P2-027,PLAN,P2,"WS-05 OpenEHR interoperability","Interop + QA","Add OpenEHR profile validation suite for generated payloads.",Sprint-6,2026-05-08,todo
P2-027-B,P2-027,BUILD,P2,"WS-05 OpenEHR interoperability","Interop + QA","Add OpenEHR profile validation suite for generated payloads.",Wave-D,2026-06-05,todo
P2-027-C,P2-027,VERIFY,P2,"WS-05 OpenEHR interoperability","Interop + QA","Add OpenEHR profile validation suite for generated payloads.",Wave-D,2026-06-05,todo
P2-028-A,P2-028,PLAN,P2,"WS-05 OpenEHR interoperability","Interop","Add interoperability conformance suite (FHIR search/profile/capability statement).",Sprint-6,2026-05-08,todo
P2-028-B,P2-028,BUILD,P2,"WS-05 OpenEHR interoperability","Interop","Add interoperability conformance suite (FHIR search/profile/capability statement).",Wave-D,2026-06-05,todo
P2-028-C,P2-028,VERIFY,P2,"WS-05 OpenEHR interoperability","Interop","Add interoperability conformance suite (FHIR search/profile/capability statement).",Wave-D,2026-06-05,todo
P2-029-A,P2-029,PLAN,P2,"WS-08 Program governance","CIO + Ops","Add business continuity tabletop cadence with action item closure tracking.",Sprint-6,2026-05-08,todo
P2-029-B,P2-029,BUILD,P2,"WS-08 Program governance","CIO + Ops","Add business continuity tabletop cadence with action item closure tracking.",Wave-D,2026-06-05,todo
P2-029-C,P2-029,VERIFY,P2,"WS-08 Program governance","CIO + Ops","Add business continuity tabletop cadence with action item closure tracking.",Wave-D,2026-06-05,todo
P2-030-A,P2-030,PLAN,P2,"WS-08 Program governance","Program Lead","Add monthly executive risk summary with blocker trends.",Sprint-6,2026-05-08,todo
P2-030-B,P2-030,BUILD,P2,"WS-08 Program governance","Program Lead","Add monthly executive risk summary with blocker trends.",Wave-D,2026-06-05,todo
P2-030-C,P2-030,VERIFY,P2,"WS-08 Program governance","Program Lead","Add monthly executive risk summary with blocker trends.",Wave-D,2026-06-05,todo
P3-001-A,P3-001,PLAN,P3,"WS-01 Platform reliability","CTO","Refactor overlapping clinical API routes to reduce duplicate logic paths.",Wave-E,2026-07-31,todo
P3-001-B,P3-001,BUILD,P3,"WS-01 Platform reliability","CTO","Refactor overlapping clinical API routes to reduce duplicate logic paths.",Wave-E,2026-07-31,todo
P3-001-C,P3-001,VERIFY,P3,"WS-01 Platform reliability","CTO","Refactor overlapping clinical API routes to reduce duplicate logic paths.",Wave-E,2026-07-31,todo
P3-002-A,P3-002,PLAN,P3,"WS-04 Product trust UX","VP Product","Improve UI navigation by persona (clinical, RCM, IT) for pilot usability.",Wave-E,2026-07-31,todo
P3-002-B,P3-002,BUILD,P3,"WS-04 Product trust UX","VP Product","Improve UI navigation by persona (clinical, RCM, IT) for pilot usability.",Wave-E,2026-07-31,todo
P3-002-C,P3-002,VERIFY,P3,"WS-04 Product trust UX","VP Product","Improve UI navigation by persona (clinical, RCM, IT) for pilot usability.",Wave-E,2026-07-31,todo
P3-003-A,P3-003,PLAN,P3,"WS-04 Product trust UX","VP Product","Add richer provenance drilldown UI for fast clinician review.",Wave-E,2026-07-31,todo
P3-003-B,P3-003,BUILD,P3,"WS-04 Product trust UX","VP Product","Add richer provenance drilldown UI for fast clinician review.",Wave-E,2026-07-31,todo
P3-003-C,P3-003,VERIFY,P3,"WS-04 Product trust UX","VP Product","Add richer provenance drilldown UI for fast clinician review.",Wave-E,2026-07-31,todo
P3-004-A,P3-004,PLAN,P3,"WS-04 Product trust UX","Clinical AI + Product","Add answer explanation templates tuned by question class.",Wave-E,2026-07-31,todo
P3-004-B,P3-004,BUILD,P3,"WS-04 Product trust UX","Clinical AI + Product","Add answer explanation templates tuned by question class.",Wave-E,2026-07-31,todo
P3-004-C,P3-004,VERIFY,P3,"WS-04 Product trust UX","Clinical AI + Product","Add answer explanation templates tuned by question class.",Wave-E,2026-07-31,todo
P3-005-A,P3-005,PLAN,P3,"WS-04 Product trust UX","Clinical AI","Add confidence calibration plots and reliability diagram reports.",Wave-E,2026-07-31,todo
P3-005-B,P3-005,BUILD,P3,"WS-04 Product trust UX","Clinical AI","Add confidence calibration plots and reliability diagram reports.",Wave-E,2026-07-31,todo
P3-005-C,P3-005,VERIFY,P3,"WS-04 Product trust UX","Clinical AI","Add confidence calibration plots and reliability diagram reports.",Wave-E,2026-07-31,todo
P3-006-A,P3-006,PLAN,P3,"WS-04 Product trust UX","Product + Clinical Ops","Add glossary and training content for confidence/evidence semantics.",Wave-E,2026-07-31,todo
P3-006-B,P3-006,BUILD,P3,"WS-04 Product trust UX","Product + Clinical Ops","Add glossary and training content for confidence/evidence semantics.",Wave-E,2026-07-31,todo
P3-006-C,P3-006,VERIFY,P3,"WS-04 Product trust UX","Product + Clinical Ops","Add glossary and training content for confidence/evidence semantics.",Wave-E,2026-07-31,todo
P3-007-A,P3-007,PLAN,P3,"WS-04 Product trust UX","Interop + Product","Add self-serve integration diagnostics page for onboarding teams.",Wave-E,2026-07-31,todo
P3-007-B,P3-007,BUILD,P3,"WS-04 Product trust UX","Interop + Product","Add self-serve integration diagnostics page for onboarding teams.",Wave-E,2026-07-31,todo
P3-007-C,P3-007,VERIFY,P3,"WS-04 Product trust UX","Interop + Product","Add self-serve integration diagnostics page for onboarding teams.",Wave-E,2026-07-31,todo
P3-008-A,P3-008,PLAN,P3,"WS-06 SRE operations","Ops","Add richer queue and worker observability dashboards.",Wave-E,2026-07-31,todo
P3-008-B,P3-008,BUILD,P3,"WS-06 SRE operations","Ops","Add richer queue and worker observability dashboards.",Wave-E,2026-07-31,todo
P3-008-C,P3-008,VERIFY,P3,"WS-06 SRE operations","Ops","Add richer queue and worker observability dashboards.",Wave-E,2026-07-31,todo
P3-009-A,P3-009,PLAN,P3,"WS-06 SRE operations","Platform","Add selective tracing on expensive endpoints with sampling controls.",Wave-E,2026-07-31,todo
P3-009-B,P3-009,BUILD,P3,"WS-06 SRE operations","Platform","Add selective tracing on expensive endpoints with sampling controls.",Wave-E,2026-07-31,todo
P3-009-C,P3-009,VERIFY,P3,"WS-06 SRE operations","Platform","Add selective tracing on expensive endpoints with sampling controls.",Wave-E,2026-07-31,todo
P3-010-A,P3-010,PLAN,P3,"WS-06 SRE operations","Ops + Security","Add red-team style chaos tests for dependency loss scenarios.",Wave-E,2026-07-31,todo
P3-010-B,P3-010,BUILD,P3,"WS-06 SRE operations","Ops + Security","Add red-team style chaos tests for dependency loss scenarios.",Wave-E,2026-07-31,todo
P3-010-C,P3-010,VERIFY,P3,"WS-06 SRE operations","Ops + Security","Add red-team style chaos tests for dependency loss scenarios.",Wave-E,2026-07-31,todo
P3-011-A,P3-011,PLAN,P3,"WS-06 SRE operations","CISO + QA","Add lint/policy checks for PHI-safe logging patterns.",Wave-E,2026-07-31,todo
P3-011-B,P3-011,BUILD,P3,"WS-06 SRE operations","CISO + QA","Add lint/policy checks for PHI-safe logging patterns.",Wave-E,2026-07-31,todo
P3-011-C,P3-011,VERIFY,P3,"WS-06 SRE operations","CISO + QA","Add lint/policy checks for PHI-safe logging patterns.",Wave-E,2026-07-31,todo
P3-012-A,P3-012,PLAN,P3,"WS-06 SRE operations","Security + Ops","Add stronger secret rotation tooling and operational runbooks.",Wave-E,2026-07-31,todo
P3-012-B,P3-012,BUILD,P3,"WS-06 SRE operations","Security + Ops","Add stronger secret rotation tooling and operational runbooks.",Wave-E,2026-07-31,todo
P3-012-C,P3-012,VERIFY,P3,"WS-06 SRE operations","Security + Ops","Add stronger secret rotation tooling and operational runbooks.",Wave-E,2026-07-31,todo
P3-013-A,P3-013,PLAN,P3,"WS-03 Clinical AI safety","Clinical AI + Compliance","Add automated stale-guideline detection and content owner alerts.",Wave-E,2026-07-31,todo
P3-013-B,P3-013,BUILD,P3,"WS-03 Clinical AI safety","Clinical AI + Compliance","Add automated stale-guideline detection and content owner alerts.",Wave-E,2026-07-31,todo
P3-013-C,P3-013,VERIFY,P3,"WS-03 Clinical AI safety","Clinical AI + Compliance","Add automated stale-guideline detection and content owner alerts.",Wave-E,2026-07-31,todo
P3-014-A,P3-014,PLAN,P3,"WS-03 Clinical AI safety","Product + Clinical AI","Add semantic versioning to clinical policy and confidence rule packs.",Wave-E,2026-07-31,todo
P3-014-B,P3-014,BUILD,P3,"WS-03 Clinical AI safety","Product + Clinical AI","Add semantic versioning to clinical policy and confidence rule packs.",Wave-E,2026-07-31,todo
P3-014-C,P3-014,VERIFY,P3,"WS-03 Clinical AI safety","Product + Clinical AI","Add semantic versioning to clinical policy and confidence rule packs.",Wave-E,2026-07-31,todo
P3-015-A,P3-015,PLAN,P3,"WS-03 Clinical AI safety","Program + CTO","Add structured quality gates for release candidates across roles.",Wave-E,2026-07-31,todo
P3-015-B,P3-015,BUILD,P3,"WS-03 Clinical AI safety","Program + CTO","Add structured quality gates for release candidates across roles.",Wave-E,2026-07-31,todo
P3-015-C,P3-015,VERIFY,P3,"WS-03 Clinical AI safety","Program + CTO","Add structured quality gates for release candidates across roles.",Wave-E,2026-07-31,todo
P3-016-A,P3-016,PLAN,P3,"WS-03 Clinical AI safety","Data + QA","Add synthetic data generation toolkit for safer pre-prod testing.",Wave-E,2026-07-31,todo
P3-016-B,P3-016,BUILD,P3,"WS-03 Clinical AI safety","Data + QA","Add synthetic data generation toolkit for safer pre-prod testing.",Wave-E,2026-07-31,todo
P3-016-C,P3-016,VERIFY,P3,"WS-03 Clinical AI safety","Data + QA","Add synthetic data generation toolkit for safer pre-prod testing.",Wave-E,2026-07-31,todo
P3-017-A,P3-017,PLAN,P3,"WS-08 Program governance","CIO + Ops","Add operational cost dashboard by workload and tenant.",Wave-E,2026-07-31,todo
P3-017-B,P3-017,BUILD,P3,"WS-08 Program governance","CIO + Ops","Add operational cost dashboard by workload and tenant.",Wave-E,2026-07-31,todo
P3-017-C,P3-017,VERIFY,P3,"WS-08 Program governance","CIO + Ops","Add operational cost dashboard by workload and tenant.",Wave-E,2026-07-31,todo
P3-018-A,P3-018,PLAN,P3,"WS-08 Program governance","CIO + Clinical Ops","Add support playbook for off-hours clinical escalation decisions.",Wave-E,2026-07-31,todo
P3-018-B,P3-018,BUILD,P3,"WS-08 Program governance","CIO + Clinical Ops","Add support playbook for off-hours clinical escalation decisions.",Wave-E,2026-07-31,todo
P3-018-C,P3-018,VERIFY,P3,"WS-08 Program governance","CIO + Clinical Ops","Add support playbook for off-hours clinical escalation decisions.",Wave-E,2026-07-31,todo
P3-019-A,P3-019,PLAN,P3,"WS-08 Program governance","Ops + Clinical AI","Add incident postmortem template specific to clinical AI misguidance risk.",Wave-E,2026-07-31,todo
P3-019-B,P3-019,BUILD,P3,"WS-08 Program governance","Ops + Clinical AI","Add incident postmortem template specific to clinical AI misguidance risk.",Wave-E,2026-07-31,todo
P3-019-C,P3-019,VERIFY,P3,"WS-08 Program governance","Ops + Clinical AI","Add incident postmortem template specific to clinical AI misguidance risk.",Wave-E,2026-07-31,todo
P3-020-A,P3-020,PLAN,P3,"WS-08 Program governance","Clinical AI + QA","Add safety regression suite for medication and contraindication scenarios.",Wave-E,2026-07-31,todo
P3-020-B,P3-020,BUILD,P3,"WS-08 Program governance","Clinical AI + QA","Add safety regression suite for medication and contraindication scenarios.",Wave-E,2026-07-31,todo
P3-020-C,P3-020,VERIFY,P3,"WS-08 Program governance","Clinical AI + QA","Add safety regression suite for medication and contraindication scenarios.",Wave-E,2026-07-31,todo
P3-021-A,P3-021,PLAN,P3,"WS-08 Program governance","QA + Platform","Add performance test scenarios for long-note and multi-note encounters.",Wave-E,2026-07-31,todo
P3-021-B,P3-021,BUILD,P3,"WS-08 Program governance","QA + Platform","Add performance test scenarios for long-note and multi-note encounters.",Wave-E,2026-07-31,todo
P3-021-C,P3-021,VERIFY,P3,"WS-08 Program governance","QA + Platform","Add performance test scenarios for long-note and multi-note encounters.",Wave-E,2026-07-31,todo
